AGREEMENTID,FORECLOSURE
11220003,0.9884057219551219
11220004,0.9972018105768395
11220005,0.9996838136303291
11220007,0.9959569003252821
11220009,0.0033821232964401293
11220013,0.9991752035023614
11220015,0.011772341766492804
11220018,0.9994723874034535
11220019,0.9994736197454849
11220023,0.00013276925659078944
11220024,0.9979637298967095
11220027,0.0006769692617034131
11220028,0.9976994798904505
11220031,0.9678136729435982
11220033,0.9998899457429925
11220035,0.9987427147872354
11220038,0.00019500342706171262
11220045,0.00013707478561492543
11220047,0.0019020793501594655
11220049,0.0023707762916781346
11220060,8.539715290877326e-05
11220062,0.9998866997723583
11220068,0.007979284178328171
11220071,0.013161340932962997
11220073,0.00018366609508743128
11220078,0.002152110477335574
11220079,0.0025471187173682383
11220080,0.9567132499317836
11220086,0.0018452584209029729
11220087,0.0016617538915452185
11220091,0.964665067969699
11220093,0.0029155968257527504
11220094,0.9670723598368802
11220095,0.0017917834461468958
11220097,0.0020297033716893285
11220099,0.9595398927564617
11220101,0.0020192813665112176
11220102,0.0019871911502321042
11220103,0.0001533992637205225
11220110,0.0007006755682166146
11220111,0.00042841283962024283
11220116,0.0018997141260662816
11220119,0.9972428755680832
11220121,0.9980086400427677
11220123,0.9989923888467352
11220125,0.9697715457012768
11220127,0.9996103862824329
11220131,0.0003336203842180611
11220140,0.0007984078708683099
11220141,0.0021423874693240978
11220142,0.9998354264245112
11220147,9.062248321927232e-06
11220148,0.9993737303811363
11220149,0.0022961129255509487
11220151,3.462687897380318e-05
11220158,0.9996857436540345
11220160,0.0020226624117459678
11220163,0.00018645512410171223
11220167,0.9991280865641243
11220171,2.9530575310683492e-05
11220174,0.9998205040980865
11220176,0.04991254604225446
11220180,0.9991885705397765
11220181,0.9969999932187974
11220182,0.00016008852143025858
11220183,0.9994289470193575
11220184,0.9990060026539898
11220186,0.9995402170020885
11220188,0.0019694763134926905
11220189,0.7907190949922673
11220190,0.0019223352602127323
11220192,0.0019941872588255887
11220193,0.0001319354157495512
11220194,0.9703655764355489
11220195,2.9474188897529393e-05
11220196,0.002629008204713424
11220197,0.002486501675676843
11220201,0.4887914695487976
11220202,0.0016768435698354556
11220204,0.9507346665909319
11220205,0.9994784296338992
11220206,0.0001213320465242999
11220207,0.9989541745434967
11220211,0.9992465623279626
11220212,1.2082855782416208e-05
11220214,0.0016729958633884922
11220215,0.001615643788958778
11220218,0.0002633829751087548
11220219,0.998768888089771
11220224,0.005080514895138116
11220229,0.9988106830577838
11220234,0.9996470539118402
11220242,0.0001987550135346918
11220243,0.002007323383631907
11220245,0.9994971477295744
11220248,0.9994349214611524
11220251,0.0004710584207972686
11220252,0.004031564988985768
11220253,0.9994949959001532
11220254,0.997209234003644
11220256,0.001558314493474556
11220258,0.999830547513411
11220260,0.00042235013096534365
11220261,0.0017439984464064206
11220262,0.9980200876817097
11220263,0.9982867624240919
11220266,0.002800460931169815
11220271,0.003974249797908398
11220273,0.9998437893159897
11220278,0.9964005134367424
11220279,0.004344217829099678
11220280,0.9998280071781507
11220282,0.9998303369467578
11220285,0.0016389465110776742
11220286,0.00018159959683863852
11220287,0.9435757803493801
11220288,4.790491969784677e-05
11220289,0.00035072098981420846
11220290,0.9767888757100465
11220291,0.0017904205320789905
11220292,0.730160445305215
11220295,0.00013225753974571193
11220296,0.00015824572714454577
11220299,0.0014870463278128633
11220300,0.9990365269118898
11220301,0.7089187543413337
11220304,0.0029071266599231763
11220305,0.001672451547994481
11220309,7.926511587087769e-05
11220311,0.9999502724577305
11220312,0.9992697472690946
11220313,0.9999342042623013
11220314,0.9990687259990727
11220316,0.9997580360832922
11220319,0.00029334009196826737
11220320,0.002098454676680667
11220323,0.9945722481052099
11220325,0.9986410133189068
11220327,0.00278203703127849
11220332,0.0001300065514141684
11220335,0.9997796890097748
11220336,0.999282897154222
11220337,0.0017796147577405351
11220338,0.9993375235154618
11220339,0.22303310179920505
11220343,0.0017945420492676064
11220344,0.0021576758222870774
11220345,0.00013563871119607265
11220347,0.03397738713739412
11220350,0.998287435648345
11220352,1.8516131430947126e-05
11220353,0.9998031497606477
11220359,0.0013894518635597158
11220360,0.9995939435654837
11220364,0.0016712513433698542
11220366,0.8786894902669724
11220373,0.9998424935747672
11220377,0.9998389441551332
11220378,0.001792362191816855
11220379,0.001462904397395315
11220380,0.9988086118314141
11220388,0.00026790458982804086
11220391,0.9998053337860705
11220394,0.001674936330420812
11220396,0.9044508016240114
11220400,6.192606325654519e-05
11220402,0.9987620691174793
11220406,0.0017328323475529566
11220411,0.0001643473444828407
11220414,0.001529214929775418
11220415,0.9538947282687019
11220422,0.999240140238548
11220425,0.001960331874421872
11220427,0.0003544738535724773
11220434,0.05565840867575515
11220435,0.9996130485884895
11220439,0.9980653898351104
11220441,0.00011836166726347404
11220445,0.99894780393373
11220451,0.9997084949238509
11220453,0.997637974403494
11220456,0.9989602901178545
11220457,0.00033408283067665277
11220460,0.0001652046993719382
11220461,0.9997409653067413
11220462,0.001035760759516628
11220464,0.02898960135490501
11220465,0.0035720855816151593
11220467,0.00043978200254381493
11220470,0.0005350948385554185
11220472,0.0006198909447668554
11220476,0.9982151796253463
11220477,0.9762053926831872
11220480,0.07867806167558555
11220482,0.0017049740490764757
11220484,0.9978143633728849
11220488,0.9992680077836358
11220490,0.9989992166548154
11220492,0.00021834920010735387
11220493,0.0020337745975670214
11220495,0.00027032881408534207
11220509,0.9994392506116551
11220510,0.9993017120371608
11220512,4.296631197280735e-05
11220516,1.3562154173470863e-05
11220518,0.9999042863921289
11220521,0.0017184710181421543
11220526,0.0017686572407774436
11220527,0.00018719080514756136
11220528,0.00011862731492804945
11220529,0.002056070314003257
11220530,0.9766401097284938
11220531,0.001689466880553013
11220533,0.001625057600725372
11220536,0.999042840250076
11220541,0.0004254903483901174
11220542,0.9998359913141825
11220543,0.001640972318260324
11220544,0.0001408262768246395
11220546,0.001426712887934305
11220550,0.001961513630459548
11220551,0.9758954462611553
11220555,0.9997940146334205
11220556,0.9997014402893699
11220557,0.0016335100100243409
11220559,0.0007727283561349161
11220561,7.487653837579255e-05
11220562,0.9992486165764849
11220565,0.8393907351495551
11220566,0.00039215000814400437
11220569,0.9998669351649063
11220573,0.9995431471631194
11220575,0.9996078310905695
11220578,0.9993669245798384
11220582,0.0019020149532579284
11220584,0.9892945242762291
11220586,0.0002833979466450458
11220589,0.002022228929162157
11220591,0.9475070730228292
11220596,0.9983226048995437
11220602,0.0018515287279553608
11220604,0.8985332276391853
11220607,0.00011838953720178938
11220608,0.9765052190645453
11220610,0.0001396086431076152
11220613,0.00011882505335799279
11220614,0.9996364112414783
11220616,0.0007524617813209029
11220617,0.0020721332692145767
11220618,0.9998815287665643
11220621,0.0018399704918329967
11220623,0.0002842575466495951
11220626,0.001668462345136653
11220628,0.0002721745249025531
11220629,0.9980102595857069
11220630,0.00011071373696911568
11220632,0.9998400752781874
11220633,0.0020129976750943683
11220634,0.9992563815818075
11220636,0.0001255719592271275
11220639,0.0018806407196244762
11220641,4.1653088431194295e-05
11220644,0.00011900876223544974
11220647,0.9997358353295634
11220648,0.0016570983807645567
11220653,0.00022723058356282806
11220656,0.9998269283633734
11220658,0.9629007235564325
11220662,0.9997782323797694
11220664,0.9511088376447429
11220668,0.9939083280106891
11220677,0.00011865839035783269
11220678,0.0004685003701209333
11220680,0.00011828585325968013
11220683,0.0003215381576377926
11220686,0.4025730295148951
11220687,0.0016381530985780392
11220688,0.0017275264845982355
11220689,0.9995405477036403
11220695,0.10551967207069061
11220698,0.9998789106233911
11220700,0.00013139067880524623
11220707,0.0017443099905338675
11220708,0.9998153851054304
11220714,0.9997820686459878
11220715,0.002066801750730092
11220718,0.9751004248855258
11220721,0.9987923176748336
11220727,0.9993854094408448
11220728,0.9994223822712888
11220730,0.0021503438240836393
11220734,0.9971006754031342
11220741,0.885482947896505
11220746,0.002080742677814243
11220750,0.0002725843170380789
11220751,0.9997239128648012
11220752,0.9364401690954292
11220753,0.999700633581293
11220755,0.9452347930566745
11220756,0.9994297786001216
11220757,0.011438824841081175
11220758,6.161916113169666e-05
11220759,1.2007951317741615e-05
11220762,0.9763553737508026
11220766,0.8952492881843183
11220767,0.9983273076913368
